,formula,disorder
64348,Ca0.3 Ce0.15 La0.12 O4 P1 Th0.4,3
64349,Ba1 Ca1 O7 V2,0
64350,Gd1 Ge1 Sc0.05 Ti0.95,1
64351,Sb0.1 Sn0.8 Te1 Tl0.1,1
64352,Ce1 Rb1 Te2,0
64353,B2 Ru3 Tb1,0
64354,K1.04 O16 Ti8,3
64355,B4 O8 Th1,0
64356,C2 As1 F9 S2,2
64357,Al3 Ca2.25 O14 Si2 Sr0.75 Ta1,1
64358,Br12 Os1 Se2,0
64359,Cl6 Cs2 K1 Sc1,0
64360,Cl2 Cu1 O2 Sr2,0
64361,O4 Sr2 Ti1,0
64362,As1 Tb1,0
64363,Fe0.2092 Li0.954 Ni0.8368 O2,1
64364,Ce0.125 O2 Y0.875,1
64365,Al3.1 As1 Fe9.9 La6,1
64366,Al1.7 O8 Si2.3 Sr0.854,3
64367,Br1 N2 Nd3 Se1,0
64368,Pd3 Pr1,0
64369,Ca0.8667 La0.1333 Nb1.814 O6 Ti0.186,1
64370,Al0.14 Ca2.91 Fe1.34 Mg0.13 Mn0.03 O12 Si2.36 Ti1.09,1
64371,Ca1.5 Mg12.5 Na8 O48 P12,3
64372,Al15.31 Fe0.23 Mg7.77 Na0.19 O76 Si19.31,3
64373,C1 Fe3,2
64374,Al5 Ce0.15 O12 Tb2.85,1
64375,I6 K2 Pt1,0
64376,B1 Co12.964 Fe1.036 Nd2,1
64377,Ba2 La0.667 O8 V2,3
64378,Cd0.174 Cu2.55 Ge1.276 Se4,1
64379,Ni3.08 Sn4,2
64380,Ge1 In1 S4 Tl1,1
64381,Al13.44 K15.68 O48 Si10.56,3
64382,Al1 Co1 Gd2.5,0
64383,Co5 Gd1 P3,0
64384,Cu0.25 O4 W1 Zn0.75,1
64385,Li0.75 O6 Ru2 Sr1,2
64386,Bi12.39 Se30 Sn11.49,3
64387,Fe0.42 Ge1.58 Li1.396 O12 P3,3
64388,Pt3 Sr7,0
64389,Ho5 Pt4,0
64390,As2 Fe2 O6 Sc2 Sr4,0
64391,Hf2 Te1,0
64392,K2 O12 P3 Ta0.5 Tb1.5,1
64393,Rh1 Zn1,0
64394,Bi1 Gd2 O2,0
64395,C1 B15.5 N1 Sc0.93,2
64396,Ba5 Gd8 Mn4 O21,0
64397,Eu5.09 Ge13 Mg17.91,3
64398,Os1 Ta1 Te4,0
64399,As1 Mn1 Pt5,0
64400,Fe0.96 Ge0.28 Mn1.04 P0.72,1
64401,Al10.002 Ca20.004 Ga13.336 O55.011,3
64402,C3.5 Pu0.5 U1.5 W2,1
64403,Eu2 Na4 P4 Pb1,1
64404,Al1 Ta1.108,1
64405,Cu2 Na1.911 O16 Rb2.089 S4,1
64406,Ce1 Pd0.33 Rh0.66 Sn1,1
64407,Al1 N1 Sm3,0
64408,Dy1 Eu1 O7 Ti2,1
64409,Ba2 Cu1 Hg1 O4.15,2
64410,C2.7 Ru0.2 Y1.8,3
64411,Bi2 I9 Rb3,0
64412,O4 Tm0.5 V1 Y0.5,1
64413,Cd1 Li2 Pb1,0
64414,Lu1 O8 Rb3 V2,0
64415,F6 Fe1 Li1 Rb2,2
64416,Cl1 La3 O8 Si2,2
64417,Ga0.34 N0.34 O0.66 Zn0.66,1
64418,B37.2 Lu1 Si3.6,3
64419,In40 Se79,0
64420,Fe0.6 Mn1.4 O4 Si1,1
64421,Al3 Bi5 Cl12,0
64422,Cu2 Ge1 Mn1 S4,0
64423,La8.898 O25.96 Si6,2
64424,Pb4 Sb6 Se13,1
64425,Ce2 Eu1 Se4,1
64426,Co3 Gd1 P2,0
64427,Ga5.744 La3 O14 W0.256,1
64428,Pd1 Zn2,1
64429,Ca0.67 Mn1 O2.985 Tb0.33,3
64430,La0.4 Mn1 O2.6 Sr0.6,3
64431,Mo1 O3 Tl0.33,0
64432,Co1.02 La1 Mg2 Mn1.03 Ni6.95,1
64433,C2 Au1 Rb1,0
64434,Cr1.8 Fe1.2 S4,1
64435,Cu1 La1.88 O4 Sr0.129,1
64436,Cs2 F2 Mn2 O7 V2,0
64437,Cl2 Co1 O6 Se2 Sr2,0
64438,Ga1 La0.94 Nd0.06 O3,1
64439,Ho0.9 Nd1.1 O7 Zr2,1
64440,Co0.8 Cr0.2,1
64441,Ho2 Li9 P5 S20,0
64442,Cu2 Ge1 S2 Se2 Zn1,1
64443,Cu2 S2 Yb0.67,2
64444,F4 Mo1 O2 Rb2,1
64445,Ce0.05 Co1 O2.68 Sr0.95,3
64446,Ge2 Ni0.45 U1,2
64447,Co1 Ni1 Sn1,0
64448,Cd12.5 Sb10,2
64449,Ba1 Sr1,1
64450,B6 Co20 Mn3,1
64451,Br4 Nb1 O1 Tl1,0
64452,Ba1 Ce0.9 Cu0.9 Fe1.1 Nd1 O7,3
64453,Al2.07 B4 La1 O10.6,2
64454,As3 Hf3.3 Nb3.7,1
64455,Co0.35 La1.8 Ni0.65 O4 Sr0.2,1
64456,C4 N3 Tl1,0
64457,C1 Fe14 Ho2,0
64458,C0.32 Ba2 Ca3 Cu4.68 O11.06,3
64459,La1 N1.06 O1.94 Zr1,1
64460,Cs4 Mo21 S25,0
64461,Al0.14 Er1 Mn1.86,1
64462,Ba3 O15 Ta5,0
64463,Au1 Ba4 Na1 O8,0
64464,Mn12 Nd1,0
64465,F13 Hf2 Na5,0
64466,Cu1 Ga0.5 O2 V0.5,1
64467,Ce1 Ni2,0
64468,Hf0.16675 Si0.16675 W0.667,1
64469,Fe11.2 La1 Si1.8,1
64470,Cl3 U1,0
64471,Lu7 Sb3,0
64472,Ba2 F3 I1 O9 W2,0
64473,La23 Mg4 Ru6.88,2
64474,Fe12.91 Nd2 Si4.09,1
64475,Ge0.8 Sb0.133 Se0.5 Te0.5,3
64476,Ge1 Li3 O4 Zn0.5,3
64477,Al1 Ca1 O5 Ta1,2
64478,Ba9 Co3 S3 Se12,3
64479,Ba6.88 Br1.32 Cl0.68 F12 Na0.19,3
64480,F6 Pd1 Zn1,0
64481,Cu1 Mg1 O4 V1,0
64482,Al1.3325 Ca3 Fe0.6675 O12 Si3,1
64483,As2 Ba0.96 K0.04 Zn2,1
64484,Hg0.75 Mn0.25 S1,1
64485,Eu0.09 La2.91 N11.777 O4.222 Si8,1
64486,Li2 O3 Pb1,1
64487,B1 Cs0.5 K0.5 O6 Si2,1
64488,Gd6 Mn1 S14 Si2,2
64489,Cl1 O4 W1 Yb1,0
64490,Fe3 La1 O8.94 Sr2,3
64491,O2 Ti0.72,2
64492,Al2.68 Ga2.32 Gd3 O12,1
64493,Cs1 Cu3 Gd2 Se5,0
64494,Al1.7 Ce1 Ga0.3,1
64495,Bi1 I1 Se1,0
64496,Cu6 Gd1 In6,3
64497,Bi0.9 Fe0.95 Ho0.1 O3 Ti0.05,1
64498,Ba1 F6 Rh1,0
64499,Au0.8 Sn0.2,1
64500,Ba3 Cu2 Rb2 S10 Sb2,0
64501,B12 Cs3 I1 In4 Se12,0
64502,Np3 Se5,0
64503,Bk1 Ir2,0
64504,Co0.198 Li1.4 Mn0.598 Ni0.402 O2.4,3
64505,Co1 Fe0.036 Li0.893 O4 P1,3
64506,Hf5 Sb3,0
64507,Er1 Si1.16,2
64508,In5 S13 Sm4,0
64509,Li1.5 Na1.5 Ni2 O6 Sb1,1
64510,Ca0.1 Cr1 O3 Sm0.9,1
64511,C4 N6 Sr1,0
64512,Au0.05 Fe0.95,1
64513,Ce3 O7 Ta1,0
64514,Ga0.067 Mn0.9 Se1,3
64515,Ba0.5 Mn1 O2.96 Sr0.5,3
64516,Cu0.26 Pd1.43 Sn1,3
64517,Na6 O5 Pb1,0
64518,Al2 F16 O0.79 Sr5,2
64519,Ce0.7 Cu2 O10 Ru1 Sr2 Y1.3,1
64520,Al2 Au3 Eu1,0
64521,Hg2 N4,2
64522,Ba1 Mn0.4 O3 Ru0.6,1
64523,Bi12 O20 Zn1,0
64524,Cu0.5 La0.6 O4 Ru0.5 Sr1.4,1
64525,Mo1 O8 W1 Zr1,1
64526,N24 P12 Sn6,2
64527,Cd3 Mg1,0
64528,Co1 O6 Pt3,0
64529,Ag1 Cu4 U1,0
64530,La1 Mg0.6 Nb0.4 O3,1
64531,Al1 Se2 Tl1,0
64532,B5 Ir4,2
64533,Ca2.028 F7 Lu0.972,1
64534,Ni1.95 Sn1 Ti1,2
64535,In0.85 Pr0.15 Te2 Tl1,1
64536,I3 K1 Tm1,0
64537,Hf0.01 Re0.99,1
64538,La0.18 O3.92 Pb0.63 W1,3
64539,Cu3 La1 O12 Ru4,0
64540,Al5.9 Sn1 Te9.892,2
64541,Ag0.86 Ca0.86 Pr0.14 Sb1,3
64542,Ga2 P2 Rb2 S9,0
64543,C2 Cs1 Gd1 O6,0
64544,Ga6 Ho1,0
64545,La0.5 Li1 O12 P4 Pr0.5,1
64546,Ca1 Fe1 O6 Si2,1
64547,Al1.2 Eu0.06 N4.8 O1.2 Si2.8 Sr0.94,1
64548,Nb1.1 O5 Ti0.9 Tl0.9,3
64549,Ho1 O4 P1,0
64550,Al4 Na4 P12 Sr8,0
64551,Ba0.5 Co1 O3 Pr0.5,0
64552,Ba0.01 Co1 La0.99 O3,1
64553,In2 Mn1 Se4,1
64554,Cs2 O2,0
64555,Cd1 Cs2 S8 Sn3,1
64556,Al3 B4 Er0.12 O12 Y0.88,1
64557,B2 Gd3 Ni7,0
64558,Ba5 Bi5 In4,0
64559,Ba0.3 Fe1 O3 Pr0.7,1
64560,Fe0.4 Mn0.3 Na1 Ni0.3 O2,1
64561,Bi2.248 Fe1.078 Mn0.1 Na0.598 O6.824,3
64562,Al1.85 Fe0.15 U1,1
64563,B6 Er2 Os1,0
64564,Al1 Ba3 Br1 Se4,0
64565,Ba2 O112 P8 W32,0
64566,Bi2 Mg3,0
64567,Hg3 Pd8 Se9,0
64568,Ge3 Y5,0
64569,Ce1 Pt1 Si2,0
64570,Hg0.2 Pb0.8,1
64571,Bi4 Ge2.82 O11.6,2
64572,Ca11 In1 Sb9,0
64573,K1 O5 P1 Ti0.99 Zr0.01,1
64574,Pd2.352 Zn10.648,1
64575,Co2 Cs3 Li1 Mo4 O16,1
64576,Na0.6 Se2 V1,2
64577,B2 Cr1 Ru1,1
64578,Ce0.15 La0.85 O4 P1,1
64579,As1 Cu1 S0.4 Se0.6,1
64580,Cs2 Sn1 Te4,0
64581,K2 P2 Pd1,0
64582,Se4 Zr2.46,2
64583,Bi2 Co1 Tm6,0
64584,Ir0.072 Nb0.928,1
64585,Li0.4 O3 W1,2
64586,Ge2 Re1 Sc1,0
64587,La0.102 Mo5 O8 Sr0.898,1
64588,Al0.6 La0.8 Li0.2 O3 Ti0.4,1
64589,Br3 Cs1 Pb1,0
64590,Fe0.326 Mn1.674 O4 Ti1,1
64591,B2 Cr0.5 V0.5,1
64592,Fe2.08 Ga0.92 Ho1,1
64593,Ni0.4 Pd0.6 Sn4,1
64594,Al1.53 In0.47 Sr1,1
64595,B1 Ho1 O3,2
64596,Ge1 Mn7 O12,0
64597,Dy0.45 Mn0.379 Ni0.568 O4 Sr1.434,3
64598,La5 O9.25 S5 Ti3.25 Zr0.25,3
64599,B1 O4 P1,0
64600,Eu0.7 Ru1 Sn3 Y0.3,1
64601,Al0.5 Nb1.5 O12 P3,1
64602,Se2 Th1,0
64603,Ba1 Ca1 Mg1 O8 Si2 Sr1,1
64604,F1 Na2 O3 P1,0
64605,Co4 Dy7 Ge12 In1,0
64606,Na1 Nd1 Se2,0
64607,Fe1.5 Ni1.9 Sb11.1 Sm0.06,3
64608,Cs8 In5 Mo24 Na25 O96,3
64609,Hg3 O10 Se3,0
64610,Pt4 S6 Tl2,0
64611,Ca0.8 Co1 O3.6 Sm1.2,3
64612,Ba2 Cl1 P7,0
64613,Eu0.2 Gd0.8 P1 Pt1,1
64614,Ce20 Ni42 P30,2
64615,Gd0.9 Ge1 Ti1,2
64616,Ag2 Mg1 P2 S6,2
64617,Ba2 Cu4 Ho1 O8,0
64618,Cu2 S2.76 Se1.24 Sn1 Zn1,1
64619,Ga1 Na3 Se4 Zn1,1
64620,Mn0.2 Se1 Zn0.8,1
64621,In5 Rh1 U1,0
64622,Ge1.5 La1 Ni0.5,1
64623,Au1 La1 O3,0
64624,Bi4 O15 Sr1 Ti4,1
64625,Al69 Ta39,2
64626,Eu1 Sb2 Se4,0
64627,Fe1 Mo1 Na0.1 O6 Sr1.9,1
64628,Ba1 K1 O4 V1,0
64629,Al3 N2 Nd3 O12 Si3,1
64630,N4 O3 Si3 Y2,1
64631,Al0.8 Fe1.2 Y1,1
64632,C2 Mn17 Nd2,2
64633,Ca1.74 Cu3.25 O9 Pb0.5 Sr2.51,1
64634,Mg1 Se17 U8,0
64635,Ce0.55 O1.775 Yb0.45,3
64636,B3 F3 K1 Na1 O4,0
64637,Cl2 Co2 O5 Sr3,0
64638,Mo2 Na1 O8 Yb1,1
64639,As4 Mo1.14 Ti0.86,1
64640,B4 Br5 La4,0
64641,B6 Dy2 Ni3,0
64642,Nd3 Ni1.34 Sn7,2
64643,Fe10.12 Mo1.88 N0.8 Y1,3
64644,Ce1 Ni1 Zn1,2
64645,Nd1 O3 Sc1,0
64646,Cu1 Si1 Ti1,0
64647, Al1.633 Cr0.27 Fe0.284 Mg0.799 Mn0.003 Ni0.008 O4 Ti0.002 Zn0.002,1
64648,Ba4 F2 La6 O24 Si6,1
64649,Ca0.33 La0.57 Mn1 O3 Y0.1,1
64650,B18 O63 V12 Zn1,0
64651,C3.51 B304.32 Si10.05,3
64652,Cu0.2 Mo3 N1 Ni1.8,1
64653,Eu1.9 F6 Nd2.1 O3,3
64654,B18 Na8 Se18,0
64655,Ge0.85 Te1 Yb0.15,1
64656,P1 Te2 Ti2,0
64657,Co2.62 Mg0.38 O4,1
64658,Sc1 Si1.5,2
64659,Ni1 Pr3 Si3,1
64660,Er1 Fe6 Ge1.78 Sn4.22,1
64661,N0.68 Pb1 Sr3,2
64662,Ag18 Te11 Tl4,2
64663,Ba2 Ca1 Cu2 Dy2 O14 Ti3,3
64664,Dy5 Ni2 Sb1,0
64665,Al3 Ge1 Ti1,1
64666,Bi0.47 Ca0.06 Na0.47 O3 Ti1,1
64667,Ge1 Li1 Pd2,0
64668,Ge4 Li2 O13 Rb4 Ti1,0
64669,Cu1 Fe0.3 S4 Ti1.7,1
64670,Mo21 Nd16 O56,0
64671,Ca0.98 Eu0.01 O4 Tb0.01 W1,1
64672,La3 Li5 Nb2 O12,2
64673,Y2 Zn17,0
64674,Bi8 Fe3.4 Se16 Sn0.6,1
64675,F1 Nd1 Te1,0
64676,Cu1 K1 Se3 U1,0
64677,Gd3 Ir1,0
64678,Co1 Mo0.54 Ta1.46,1
64679,Gd12.71 Zn59.5,3
64680,Al49.3 Cu16.7 Yb8,1
64681,In1 Pd5 Se1,0
64682,Al1.56 Hf5 Sb1.44,1
64683,C4 B1 N4 Tl1,0
64684,Ce1 Cl6 Cs2,0
64685,Ba1 Ca1.875 Mg1 O8 Si2 Sr0.125,1
64686,Cu2 Sb3 U3,0
64687,Ag0.5 Al2 In0.5 S4,1
64688,S7 Tb5,0
64689,Ce0.506 O1.95 Tb0.494,3
64690,Al1 Cr1 S4 Zn1,1
64691,Cr2.4 S4 V0.6,1
64692,Ag1 Sb0.9 Se2 Sn0.1,1
64693,Co11 Ga6 Pr26,0
64694,Fe1.25 Li0.5 O4 V1.25,1
64695,Cu0.96 P0.04,1
64696,Ge1 Ho1 Mn1,1
64697,Pt1 Si3 Th2,1
64698,As1 Br1 Hg3 S4,0
64699,Cu1 Sb3 Zr5,0
64700,Cu2 Se3 Si1,0
64701,Ca9.75 Eu0.5 O28 P0.1 V6.9,3
64702,Cr5 Ge1.4 Si1.6,1
64703,Gd0.022 Yb0.978,1
64704,C16 O16 Os6 S4,0
64705,C2 Pr2 Re1,0
64706,As1 Cm1,0
64707,Bi0.1 Cu0.1 La0.6 Mn0.9 O3 Sr0.3,1
64708,Ba1.9 Bi1 N1 Sr1.1,1
64709,Ba2 Nb4.75 O9 Zr0.25,1
64710,Ca0.2 O6 Ru1 Sr1.8 Y1,1
64711,C60 Sm6,0
64712,Ce0.77 La0.23 Nb1 O3.82,3
64713,Bi0.73 Gd1.27 O7 Ti2,1
64714,Ni1 P1 Zr2,0
64715,Al1 Fe1 Y1,1
64716,Cu2 Sn1 Te3,3
64717,Ag3 Sn1,0
64718,Ba1 Cu3 O6.741 Sr1 Y1,3
64719,C1 F1 Nd1 O3,0
64720,Ba1 Bi4 Br2 O6,0
64721,La5 S7,2
64722,Ga2 Se4 Yb1,0
64723,Li4 Ni1 O6 W1,1
64724,Ba11 Bi14 Cd8,0
64725,B2 Mg5 O10 Sn0.7 Ti0.3,1
64726,C2 Au1 Na1,0
64727,Ba8 Ge39.4 Pd0.7 Zn5.9,1
64728,Co12 Gd2 P7,0
64729,Ag0.4 Ga1.6 Y1,1
64730,Mn1.25 Ni3.2125 Tb1.5375,1
64731,Fe1.34 Si0.66,1
64732,Ca0.1 Co4 Sb12,2
64733,Au0.825 Ni0.045 Sn0.13,1
64734,Mo2.95 O12 Sc1.924 V0.05 Zr0.076,1
64735,Am1 Pt2,0
64736,In4.99 Na21.49 O15,2
64737,Ce2 Cu5.29 Rb0.71 Te6,2
64738,Ni4.56 V10.44,1
64739,Co1.14 Sn1.14 Ti1,3
64740,Al12 Ca6 O48 Si12,3
64741,Cu3 O4 Sr1,0
64742,Cu1 In3 Tb2,1
64743,O4 Si1 Th0.65 U0.35,1
64744,  Al0.26 Ca2.973 Ce0.001 Fe1.438 Mg0.089 Mn0.031 Na0.018 Nd0.001 O12 Si2.657 Ti0.494 V0.024 Y0.001 Zr0.016,3
64745,C11 Fe3 Mo1 O11 S4,0
64746,F3.92 Yb0.5 Zr0.5,3
64747,C1 Cr0.1 Nb0.9,1
64748,Bi1.65 In0.35 Se3,1
64749,Er1 In1 Pd1,0
64750,Al1 Fe1 Nb1,1
64751,Ba7.72 Ge6.38 Si39.35,3
64752,C1 Br4 N2 S3,0
64753,Sr1 Zn11,0
64754,As1 Bi1 Cu2 O6,0
64755,Fe1.07 Li0.93 O4 P0.93 Si0.07,1
64756,Ca3 Cr3 O16 P4,0
64757,Ag1 Cl1 In2 Te3,3
64758,Li8 P4 Si1,2
64759,In20 Rh9.19 Y10,2
64760,La3.43 Mn1.5 Ni1.07,1
64761,Nb1 Si1 V1,1
64762,O13 Os3 Sr5,0
64763,Cu3 O12 Pr0.77 Ru0.1 Ti3.9,3
64764,Au5.87 Ga46.63 Na17,1
64765,Ru1 V1,0
64766,K6 Nb10.88 O30,2
64767,Ba2 Ir1 Li1 O5.5,2
64768,Bi2 Pb1.78 Se9 Sn4.22,1
64769, Al0.028 Ca0.611 Cr0.01 Fe0.003 Mg0.583 Na0.389 O6 Si1.972 Ti0.003 V0.401,1
64770,Gd1 I5 O14,2
64771,Cu0.03 In1 Se2 Tl0.97,1
64772,Li1 O3 U1,0
64773,F6 Li2 Rh1,0
64774,Ba1.8 Ca0.2 Cu3 Nd0.2 O7 Y0.8,3
64775,Au2 I1 K6 Na1 O8,0
64776,Ge4 V0.9 Zr4.1,1
64777,Co0.5 Mg0.5 O6 Sr2 Te1,1
64778,Bi0.825 Fe1 O3 Pb0.175,1
64779,K2 Re3 Se6,0
64780,Co2.34 Zn10.63,3
64781,Ir4 Sc3 Si13.22,2
64782,O6.5 Pb2 Sb1.5 Sc0.5,3
64783,Cu0.85 Gd0.15 Mn3 N1,1
64784,O1 Ti0.92 V0.08,1
64785,Pd3 Ti1,0
64786,F0.125 O0.875,3
64787,Cd2.8 Cu2.2 P10,1
64788,Cl6 O10 Pb13,0
64789,Al6 Cl0.52 I1.48 Na8 O24 Si6,1
64790,B2 Ho3 Ni7,0
64791,Bi1 Nb0.15 O4 Ta0.85,1
64792,Ba1 Co2 Sn8,0
64793,Er5 In3,0
64794,Cu0.95 Ge4.48 P2.57,1
64795,B0.75 Ru3 U1,2
64796,In1 Rb1 S2,0
64797,Cu1 O6 Os1 Sr2,0
64798,Eu1.40671 Mg17 Sr0.52029,3
64799,Al0.47 Fe0.53,1
64800,C80 Al5 Cu4 F180 Na1 O20 Se38,3
64801,B6 Co20 Ga3,0
64802,K1 O25 P6 Si2 Ti3,0
64803,Au4 Ce1 Zn2,0
64804,Ba2 Pb4.8 Tl1.2,1
64805,Ba3 Nb4 O21 Ti4,1
64806,Al8 O20.4 Pb8.48,2
64807,Co1.15 Nb1 Sn1,0
64808,Cu3 Er1 S3,2
64809,Hf0.05 V0.95,1
64810,Fe0.5 Mn1 Nb0.5 O3,1
64811,B5 O8 Rb1,0
64812,P1 Rh1 Ta1,0
64813,In4 Ni1 Pr1,0
64814,Li0.96 Mn2 O3.93,2
64815,Dy1 Ga2.4 Zn8.6,1
64816,Al0.2 Mn2 Zr0.8,1
64817,Po1 Zn1,0
64818,Ca0.01 Fe0.14 Mn0.782 Nb1.778 O6 Ta0.178 Ti0.034,3
64819,Al22 Cd0.9638 Na0.5124 O34.22,3
64820,Ba1 Cu4 La4 Ni1 O13.3,3
64821,Cd13 Rb1,0
64822,Fe3 O19 P5 Si1,0
64823,Cs3 In3 O36 P12,0
64824,Co5 O14.45 Sr6,2
64825,Co2 Gd3 Ge3,0
64826,Ba2 O8 V2 Y0.67,3
64827,O6 Pb2 Sc1.3334 W0.6666,1
64828,O7 Sn2 Tb2,3
64829,Eu2 Ge2 Se5,0
64830,Fe10 Mo2 N0.5 Nd1,3
64831,Ca1 Fe2.38 Mn11.62 O24 Si1,1
64832,Pt1 Si1 Sr1,0
64833,Ba2 Cu3 Nd0.85 O7.02 Pr0.15,3
64834,Dy0.05 O3 Sr0.95 Zr1,1
64835,Cu0.46 Ni0.46 U0.08,1
64836,Ba1 O4 Sm2,0
64837,Th2 Tl1,0
64838,Ho2.096 O6.952 Ti1.904,3
64839,Al1 Mn1 Pt2,0
64840,Co2.84 Sc2 Si1.16,1
64841,Ba4 Ni1 O12 Re2,2
64842,Au2 Ge2 Sr1,0
64843,Cu2 O7 Pr0.674 Sr2.29 Tl1,3
64844,Fe1.5 Li1 O7 P2,0
64845,Ba1.334 Bi0.666 O5.166 Pb0.667 Sr1.333,3
64846,Au1 Ba1 In3,1
64847,Ge1 Hg1 Li2 Se4,0
64848,Al1 Ce1 Co4,1
64849,Fe0.4 O4 Ti0.16 Zn1.8 Zr0.64,1
64850,La0.1 O1.95 Zr0.9,3
64851,Cs4 Ge1 Te6,0
64852,Ba0.22 Sr0.78,1
64853,C1 Gd3 Tl1,0
64854,Ca2 Na1 O10 Ta3,2
64855,K1 Mg4 Mn6 O15,0
64856,Cu0.938 In1 Se2,3
64857,Na1 Nd3 O7 Pt1,3
64858,Ce2 Ru1 Zn4,0
64859,C2 Mn1 O4,2
64860,Na10.6 O144 Si72,2
64861,Eu1 In2 S4,0
64862,Ge1 Pr2 Rh3,0
64863,Hf1 Tc2,0
64864,Mo1 O4 Yb1,0
64865,Nd2 O13 Te2 W2,0
64866,Al12 Cs3.5 Na8.5 O48 Si12,3
64867,Ag2 Ge1 S3,0
64868,B4 O8 U1,0
64869,Eu1 Gd1 O7 Ti2,1
64870,Bi0.5 Fe1 O3 Pb0.5,1
64871,Ga0.68 Mo2.64 W0.68,1
64872,Fe1 Na6 S4,0
64873,Ni7 Tb1.96,2
64874,C1 Al1 Ti1 V1,1
64875,Ba3 Ga1 O9 Sb1 Ti1,1
64876,F3 La2 Li1 O8 S2,0
64877,Al0.7 Co1 Cr0.3,1
64878,B2 Ba2 Cu1 O6,0
64879,Bi0.3 La1.1 Mn2 O7 Sr1.6,1
64880,Fe2 Hg0.4325 O9 Pb0.4325 Sr4,3
64881,Al0.1 Ca0.05 Cr0.02 Fe0.16 Mg1.73 O6 Si1.94,1
64882,Na0.75 O3 W1,2
64883,Ba2 Cu2.02 O6.656 Y1.98,3
64884,Fe0.68 Gd1 Si2,2
64885,Bi3.785 Cd3.3 Cu1.775 O19.5 P3.5,3
64886,Ba1 Ca1.14 Cu2.68 La0.86 O6.52 Zn0.1,3
64887,Mo1 V1 Zr1,1
64888,Cu1 Dy1 S2,0
64889,F1 O2 Ta1,1
64890,Au2.16 Sn1.84 Sr1,1
64891,Lu0.7 Mn1 O3 Y0.3,1
64892,Ce1 O6 Se2,0
64893,Co0.1 Cr2 Cu0.9 Se4,1
64894,Cu5 O30 Ta11,2
64895,K4 Te9 Ti3,0
64896,B6 Ba2 Ca1 O12,0
64897,Nd1 Ni2,0
64898,O6.88 Sr3 V2,2
64899,Cr1 O8 Pb5,0
64900,In12 K2 Se19,0
64901,Al8 Fe4 Np1,0
64902,C12 Fe4 Ge1 O12 S4,0
64903,Bi0.1 F1.9 O0.1 Pb0.9,3
64904,Ag0.22 Ba0.5 S1.33 Sn0.36,3
64905,Ba2 Ca0.2 Cu3 O6.1 Y0.8,3
64906,Ag1 Nb3 Te4,0
64907,Fe0.3 Mn1.7 Tb1,1
64908,Ge0.989 In1.011 La3,1
64909,O6 Sr3 W1,0
64910,Fe0.2 O2.927 Sr1 Ti0.8,3
64911,Fe6 Ga3.5 Ge2.56 Sc0.94,1
64912,Ag4.53 Te3,2
64913,Fe2 Ni0.4 O4 Zn0.6,1
64914,Br2 Cu3 Mo8 O23,0
64915,C1 Hg0.8 Ti3.2,1
64916,Ag0.67 Li1 Mn1.11 Te2,3
64917,O7 P2 Tl2,0
64918,N2 Ta1 Ti1,1
64919,Fe1 Mo1 Nd0.15 O6 Sr1.85,1
64920,Cs2 F3 Mn1 O4 Se1,0
64921,Bi1 Fe0.4 O3 Ti0.3 Zn0.3,1
64922,Ce1 Sb2.916 V0.91,2
64923,Cl1 Dy1 O4 Sb2,0
64924,Ag1 Mg1 Sb1,0
64925,C19 O20 Os6,0
64926,Cs1 F7 Y2,2
64927,B6 Co21 Mo2,0
64928,Cd1 O9 P3 Rb1,0
64929,Li1 Mn1.57 Ni0.43 O4,1
64930,Cl6 Na1 Sb1,0
64931,O4 Sc1 Sm1 Sr1,1
64932,Al2 Pr0.15 U0.85,1
64933,Ba2 Li3 N4 Ta1,0
64934,B6 In0.76 Ni22.24,1
64935,Cd58 Sr13,0
64936,Cu2.8 Mo0.2 O7.24 Sr2 Y1,3
64937,Bi4 Cs1 Se1.02 Te4.98,1
64938,Pd1 Rb2 Se2,0
64939,Mn1 O3 Pb0.2 Pr0.8,1
64940,Mn0.98 O2,2
64941,B6 Fe12 La1,0
64942,Ba2 Ca2 Cu3 O8.75 Tl0.9,3
64943,Co1 Nd0.7 O3 Sr0.3,1
64944,Ho1.15 In0.35 Pd1,1
64945,B5 I1 Mg8 N10,0
64946,Cr0.95 O3 Ru0.05 Yb1,1
64947,La0.8 Mn1 O3 Sr0.15,3
64948,Bi1.8 La0.2 O6 W1,1
64949,Ca3 Cl2 O5 W1,0
64950,O50 P4 Pb0.66 W14,2
64951,Cl1 Cs1 In4 S6,0
64952,Pt1 W1,1
64953,Bi4 Fe2 Se8,1
64954,F3 K0.964 Li0.036 Mn1,1
64955,Ce1 O4 Sr2,0
64956,Co1 Gd0.51 O3 Sr0.49,1
64957,F11 Fe1 Na1 Zr2,0
64958,Cs2 Mn1 O12 Si5,0
64959,Cd1 I3 Na1 O9,3
64960,Bi17 O43 P5 Pb5,0
64961,Br13.5 Mo6 Rb2.7 Se0.5,3
64962,Mn5 Ni2 O21 Sr9,2
64963,Cl10.8 I3.2 Nb6,3
64964,Al7 Ce2 Ge4 Pd1,0
64965,Na3 P1 S2.5 Se1.5,1
64966,Mo0.85 N0.85 O2.15 Sr1 W0.15,1
64967,Gd1 O7.5 Te3,3
64968,Al6 Ca2 Cl2.2 K2 Na4 O27.6 S0.9 Si6,3
64969,Ge1 Se1 Th1,0
64970,Mg0.78 Sc0.22 Zn2,1
