,formula,disorder
28499,Ba1 O3 Sn0.05 Ti0.95,S
28500,Ca0.17 Fe2 Mn1.19 Na1.64 O12 P3,S
28501,Ba1 Cu1 Eu0.8 Fe1 La0.2 O5.04,M
28502,As0.8 In0.2 Pd3,S
28503,Nb2.7 Re3.3,S
28504,As0.7 Ga1 Sb0.3,S
28505,La1 Sb1 Se3,S
28506,Co0.32 Fe0.84 Mn0.84 Zr1,S
28507,Ge1.68 Pr5 Sb1.32,S
28508,Al10.686 Ba1.157 O17.157,M
28509,Cu3.8 In1.2 Tb1,S
28510,Cd58 Ce13,O
28511,Cu1 Na2 O12 P4,O
28512,Cu0.15 O4 W1 Zn0.85,S
28513,C14 Co6 O14 Se4,O
28514,Eu1 Pt1 Sn2,O
28515,N12 Rb2 Zn1,O
28516,As4 S3.48 Se0.52,S
28517,Cu1 Ga1 Nb1,S
28518,Co2.18 In0.82 Sc6,S
28519,Er1 Fe3 Mn3 Sn6,S
28520,Au51 Y14,V
28521,As1 Mn1 V1,O
28522,Cu1 Nb1 Rb2 S4,O
28523,Mo3 O12 Rb2 Th1,O
28524,Mn1.9 P1,V
28525,As1 Y1,O
28526,Ba1.7 Cu3 Eu1 O6.96 Pr0.3,M
28527,Ba0.7 Cl1 F1 Sr0.3,S
28528,Bi1 Mg2.5 O38 V18.5,M
28529,Fe1 K2 Li3 O4,O
28530,Eu2 O6 S1,O
28531,As2 F12 Ni1 O12 S6,O
28532,In1 O28 P7 Sr9,V
28533,Bi18 O42 P4 Pb5,V
28534,Cr0.63 La1 Ni0.37 O3,S
28535,Ce1 Ir1 Os1,S
28536,Eu1 Li8.71 Sn6.29,S
28537,Ca1 O7 V3,O
28538,Ca0.92 Fe1.8 O7 Sr0.41 Tb1.67 Ti0.2,S
28539,Er1 F1 O3 Se1,O
28540,Fe2 Ni0.5 O4 Sn0.2 Zn0.3,S
28541,C0.93 F2 Y2,V
28542,Ba1 F1 I2 O8 V1,O
28543,B2 Co3 Ho1,O
28544,C1 Hf1 N1 Ti1,S
28545,As1 Hf1 Nb1,S
28546,Ca8 Ho1 O28 P7 Zn1,M
28547,Co3 In0.2 S2 Sn1.8,S
28548,F6 In1 Li3,V
28549,Cu0.59 O5 V2,V
28550,Ba1 Fe2 O8 P2,O
28551,Bi0.52 Ni0.26 O3 Pb0.48 Ti0.74,S
28552,C2 Hg2 N2 O1,O
28553,Ho16 Mg24 Zn122,O
28554,Sn3 Th5,O
28555,Ru3 Si5 Sm2,O
28556,Ba1 Ca0.2 Cu0.6 Nd1.8 Ni0.4 O5,S
28557,B1 Cr1 Ni2 O5,S
28558,Cd1 Pd5 Se1,O
28559,Ge3 Ni5 Tb1,O
28560,Hf0.8 Pt3.2,S
28561,Co7.8 Cr2.6 W2.6,S
28562,Nd1 O9 P3,O
28563,Ba1.125 Mg1 O8 Si2 Sr1.875,S
28564,Cd1 Cr2 S2 Se2,S
28565,Cs6 S22 Ta4,O
28566,Ca4.99 Cl1 Eu0.01 O12 P3,S
28567,Fe1.9 Ni0.1 O7 Sr3,S
28568,Ba3 Er4 O9,O
28569,B1 Dy1 Pt3,O
28570,Cs1 Ge1 I3,O
28571,N6 Nb5,O
28572,La0.67 Mo1 O4,V
28573,Bi0.05 Ca4.51 O14.53 Sb1.95 Sr5,M
28574,Al4.44 Ca5.76 Cl2.76 Fe0.48 Mg0.24 O16 Si2.08,M
28575,Er1 Fe1 Ru1,S
28576,Cu2 Gd1 O8 Rh0.1 Ru0.9 Sr2,M
28577,Al4 Cr0.2 Fe7.6 O19 Sn0.2 Sr1,M
28578,Cu2.26661 Mn0.3879903 Se3.9999 Sn1.3333,S
28579,Ca3 O12 Si3 Y2,S
28580,Al1.2 Ba0.3 Cr4.8 Fe1.2 K0.7 Mg1.2 O19 Ti3.6,M
28581,Nd2 Pb1 Se4,S
28582,Ag9.01 Mg36.81,M
28583,Co0.4 Ge2 Mn1.6 Pr1,S
28584,N2 O1 Sm1 Ta1,S
28585,O4 Pb0.9 Sr0.1 W1,S
28586,B2 Nd1 Rh3,O
28587,As6 Ca2.56 Fe7.49 Na0.44 Nb0.51,S
28588,Cs5 Na6 P5 S20 U1,O
28589,Al1.46 Cs1.44 Fe0.82 O16 Ti5.72,M
28590,Cs1 Eu1 Ge1 S4,V
28591,Ga0.75 Ge0.25 S8 V4,S
28592,Co1 Ir1,S
28593,Am2 O3,O
28594,Cd1 Cu1.698 Sn0.302,S
28595,Ca1 F1 Na1 Nb2 O6,S
28596,Fe2.1 Ge0.9 O4,S
28597,Cu1 Ga1 Zr1,S
28598,Ba0.15 Ca0.15 La0.7 Mn1 O3,S
28599,Pb1.032 S1,O
28600,La0.887 Mn1 O3,V
28601,Ga2.32 Gd0.833,M
28602,Fe0.667 O4 Sb0.667 Ti0.667,S
28603,C3 Ni10 W3,O
28604,Ni7 O24 P6 Tl4,O
28605,Ca1 Ni2 O9 Se3,V
28606,Cl7 Cs2 Nb3 O5,O
28607,Cl3 Hg1 Na1,O
28608,Nb7 Ni6,O
28609,Ba1 Cu1 Fe1 O5.57 Pr1,M
28610,In4 Pd1 Sr1,O
28611,Gd4 In5 S13,O
28612,Hf1 Ni5,O
28613,Sb1 Se2 Tl1,S
28614,Co12 Nd2 P7,O
28615,Cs2 S1 Se3 W1,M
28616,Ni1.014 Sn1 Ti1.003,V
28617,P1.4 Se0.6 Zr1,S
28618,Ba2 O6 Ru1 Y1,O
28619,F7 Mn1 Na2 V1,V
28620,Al2 Gd3 Ni6,O
28621,I7 Nb3 Te1,O
28622,Ca1 Zn2,O
28623,Ga16 Pt7 Zr6,O
28624,Cu2 Nd2 O6.1 Sr1,V
28625,Al2 Ni1 Pt1,S
28626,Fe0.93 O1,V
28627,O9 Ta3,V
28628,Ce1 F4,O
28629,Ba1 Hg2 Tl2,O
28630,La0.65 Mn1 O3 Sr0.32,M
28631,Mn0.5 O12 P3 Zr2,V
28632,Cd1 N2 O6,O
28633,Al4.43 Fe1.37 K0.76 Mg0.84 O30 Si10.36,M
28634,Fe0.01 Pb0.92 S3 Sn1.07,S
28635,Ag1 I3 K2,O
28636,Cl3 I1 N1 V1,O
28637,Fe1.9 Mn0.1 P1,S
28638,Er1 Ni5 Si3,O
28639,Gd4 Ge8 Re1,V
28640,Ce1 Pt2,O
28641,Al1 Pr2,O
28642,N0.801 Nb1,V
28643,Ga3.98 Pr12 Sb22.9,V
28644,Ca2 Ir2 Si1,O
28645,B7 Ca9 F2 Li5 O21,O
28646,Er2 Mg1 Se4,O
28647,Al4.29 Co1.56 Mg0.44 O18 Si4.71,S
28648,Ba2 Cu3 O6.27 Y1,V
28649,In1 La3,O
28650,Rh1 Si1 U1,O
28651,Ni0.5 O12 P3 Rb2 Ti1.5,S
28652,Cu8 Ge1 Se6,V
28653,Co1.5 Ir0.5,S
28654,Cd1 Gd4 Ir1,O
28655,Cu1 Lu1 Se3 Sr1,O
28656,Lu1 Mn6 Sn6,O
28657,Au1 Ca1,O
28658,Co1.84 Dy1 Fe0.16,S
28659,Al3 Mo6 S8,V
28660,Bi39 Br47 Pb9,M
28661,O1 Ta1,O
28662,Al13 Ce4 Pt9,O
28663,F8 Fe4 O8 Sr6,O
28664,Bi1.7 Ca0.9 Cu2 O8 Pb0.4 Sr2,M
28665,Ca1.79 F2 Ga1.29 Mg4.89 Na0.46 O22 Si7.03,M
28666,Na1 Zn13,O
28667,Ca1 F1 K2 O4 P1,O
28668,Ni7 Zr2,O
28669,Ba2 Li3 N4 Nb1,O
28670,As1 Ce1 Rh1,O
28671,Ba0.25 Co1 La0.75 O3,S
28672,Ga3.33 Tm2,O
28673,Ca0.5 Fe0.6 La0.5 Mg0.175 Mo0.225 O3,S
28674,Eu2 O15 P4 Si1,V
28675,Au1 Sb1 Tl1,O
28676,Fe2 Rb12 Se12,O
28677,Ag4.73 Cu9 Hg1 S8,V
28678,Ba4 Ge1 P4,O
28679,Na7.5 Si34,V
28680,Al1 Cu1 F6 K1,O
28681,Cu2 Na4 O32 S8 Zn4,O
28682,Cs1 Ga5 Hg4 Se12,S
28683,Ir1 Sn1 Ti1,V
28684,P4 S6,O
28685,B0.009 Si0.991,S
28686,Cl10.61 F4.39 Nb6,S
28687,Mn1 O3 Tb0.477 Yb0.523,S
28688,Ba1.94 Na1 Nb5 O15 Pr0.037,V
28689,Ag3.48 Al12 Na8.08 O48 Si12,M
28690,S17 Sc1 U8,O
28691,Cu1 Ho0.75 La1 O3.89 Sr0.25,M
28692,Co1.5 Na3 O12 S1.5 Se1.5,M
28693,Ca4 Ir8 P7,O
28694,O6 Sb0.2 Ta1.8 Zn1,S
28695,Ce0.98 Ho0.02,S
28696,Al2 Nd2 O7 Sr1,S
28697,Mn1 Nd1 Si2,O
28698,O12 P2 Pb5 Si1,S
28699,Ba3 Eu0.3 Nb2 O9 Zn0.7,S
28700,Al1 Eu1 O3,O
28701,Nb0.973 Sn0.027,S
28702,C15 Cl9 Fe4 Hg8 O16,O
28703,Ca1 Ce0.4 Mn0.6 Nb1 O7 Sn1,M
28704,Ba3.14 Bi2.39 S8 Sn0.61,M
28705,Pb3 S12 Sn3 Y2,O
28706,F2 Fe1 O4 P1 Sr1,O
28707,Ni7 Th4,V
28708,Eu1 Ni2 P2,O
28709,Ca1 Sb2,O
28710,Al1.293 Ba5 Cu0.085 O11 Ru1.622,S
28711,Co1 Ho1 K1 O7 Si2,O
28712,Cu1 Ge2 Pr1,O
28713,Cs2 F6 Na1 V1,O
28714,Nd1.8 O6.962 Pb0.2 Ru2,M
28715,Pd0.08 Rh1.92 U1,S
28716,Fe2 P1,V
28717,La0.6 O4 P1 Pr0.4,S
28718,B2 Ni2 Y1,O
28719,Ca14 F2 Nb2 O34 Si8,O
28720,Au3 Zr1,O
28721,Gd1 K1 O3 Pd1,O
28722,Cs2 P2 Se6 Zn1,O
28723,Al1.999 Be2.971 Cr0.053 Na0.024 O18 Si5.969,M
28724,Fe0.61 Mg1.39 O4 Si1,S
28725,La0.4 O3 Sr0.6 Ti1,S
28726,Cr0.1 Mn0.9 Te1,S
28727,As19 Er13 Ni24.78,V
28728,Be13 Dy1,O
28729,Al0.8 Ni3 Ti0.2,S
28730,Li1 Mo9 Na5 O30,O
28731,Br1 Lu1 O4 W1,O
28732,Al0.5 Mg0.75 O3 Si0.75,S
28733,N2 Pr4 Se3,O
28734,Cu0.211 S2 Ti1,V
28735,Na0.48 O3 W1,V
28736,In2.67 S2 Se2,M
28737,Ca2.6 Ga8.8,M
28738,Nd1 Re4 Si2,O
28739,Eu3 Ge5 Mg5,O
28740,Sb1 Se6 Tl9,S
28741,Au6 Rb4 S5,O
28742,Mg1 Si5,O
28743,B2 Ta0.5 V0.5,S
28744,Ba0.33 Fe2 O5 Pb1.33 Sr0.33,S
28745,Gd2 O6 Ti1 Zn1,O
28746,Ga1 In1 O5 Zn2,O
28747,F2.25 Pb0.875 Th0.125,M
28748,S4 V3,O
28749,Al3 B4 O12 Pr1,O
28750,Sb3 Ti4.88 Zn1,V
28751,Bi3 Pb0.75 Te5.25,S
28752,Hg4 O7 P2,O
28753,Co0.1 Fe2 Mg0.9 O4,S
28754,Ag0.925 Ge0.075,S
28755,Cs1 Te4,O
28756,Dy2 Rh1 Si3,O
28757,Br1 Li6.025 P0.975 S5 Si0.025,M
28758,Fe0.9 Ta0.77 Te2,V
28759,Li1 P2 S6 Sc1,V
28760,Cs2 O4 W1,O
28761,Bi1 F6 Li1,O
28762,Si1 Ta3 Te6,O
28763,B5 Mn0.007 O10 Th1 Zn0.993,S
28764,Ce0.4 O7 Sc0.4 Sm1.6 Zr1.6,S
28765,Ba1 O3 Sn0.11 Ti0.89,S
28766,Dy1 Ga3 Mn0.17,V
28767,Co3 Ho1 Ni2,S
28768,C19 Er15,O
28769,Cu31.3 Ga16.3,V
28770,Ba1 Co1 La1 O6 Ru1,S
28771,La2 O6 S1,O
28772,Al0.1 Co2 Nb0.9,S
28773,Gd5 Ge1.6 Si2.4,S
28774,Hg1 O3 Te1,O
28775,O2 Th0.8 U0.2,S
28776,Nb0.98 Si3 Ta4.02,S
28777,As1 Ce0.5 F0.16 Fe1 Gd0.5 O0.84,S
28778,In1 Pd1 Sm1,O
28779,Er1 Ge3 Ni5,O
28780,Ga2.952 La2.379 Lu2.561 O12 Pb0.06 Zn0.048,S
28781,C1 Co3 Sc1,O
28782,Nb1 O7 Pr3,O
28783,Ho1 Ni5,O
28784,B0.43 Fe11.04 Ti0.91 Y1,M
28785,Se1 Sr1,O
28786,Ge1 Hf1 V1,O
28787,Cr0.979 S2 V0.378,M
28788,Ge2 Ho1 Ni2,O
28789,Cu2 S4 Si0.246 Sn0.754 Zn1,S
28790,Br6 F18 Na2 Pb11,M
28791,B1 K2 Na1 P2,O
28792,As2 Ba0.546 Fe2 K0.425 Sn0.028,M
28793,Co0.1 Cr0.015 Li0.97 Mg0.005 Mn0.103 Ni0.807 O2,S
28794,Ge3 K2 O9 Ti1,O
28795,Cu1 Fe1 Se2,O
28796,Mg0.65 Sc0.35,S
28797,Ga3 Mn2.85 Pb0.65 S8,V
28798,Al0.5 Co0.167 Lu0.333,O
28799,La2 Mg1 O6 Pt1,S
28800,Ag1 Cd3 F20 Zr3,O
28801,Cu1.43 In1.33 Se4 Zn1.23,S
28802,Al0.24 La3 Li6.26 O12 Zr2,M
28803,Au6 Ce1,O
28804,Ag1 As1 Cs2 S4,O
28805,O4 Pb3,O
28806,Ca1 Cu2 O7 Sr2 Tl1,O
28807,B4 Ta0.8 W3.2,S
28808,Na1 P1,O
28809,Cd0.1 Fe2 Ni0.5 O4 Zn0.4,S
28810,O11 Pb1 Ta2 V2,O
28811,B1 Na3 O3,O
28812,Ca1 S4 Y2,O
28813,Cr0.6 Mn0.4 Nd1 O3,S
28814,Al72 Co24 Cu4.88,V
28815,Ni1 O10 P2 V2,O
28816,Se1 Tm0.83,V
28817,Au3 Sb4 Sm3,O
28818,Nd1 Rh0.5 Ru1.5 Si2,S
28819,O5 S1 V1,V
28820,Co2 O5.73 Sr3,V
28821,Cs1 Mo8 O33 P4,M
28822,Al1 Ge1 Y1,O
28823,Ce1 Rh1,O
28824,Be1 Cs1 F4 Li1,O
28825,Cu2 Na3 O6 Sb1,O
28826,C3 Hf1 Li2 N6,S
28827,Ce0.84 Ho0.1 O1.92 Sr0.06,M
28828,Ba1.6 Ca0.6 Cu3 La0.4 Nd0.4 O6.932,M
28829,Ga3.35 La1 Pd0.65,S
28830,Fe0.184 Mg1.816 O4 Si1,S
28831,Al1.74 Cu0.69 Mg0.57 O4,S
28832,Al1 Si2 Y2,O
28833,Al1 Cu4 Y1,S
28834,Eu3 S7 Si1 Ti0.85,V
28835,Fe0.899 Mn0.101 O1,S
28836,Co3 Gd2 Si5,O
28837,Sr1 Zn12.88,V
28838,Dy1 Ni1 O3,O
28839,Lu0.75 Mn1 Sc0.25 Si1,S
28840,Cr2.01 Te3,V
28841,Fe23 Ho5 Y1,S
28842,Fe1.812 Si0.906 V0.907,S
28843,Tb2 Zn17,O
28844,In1 Pt1 Tb1,O
28845,Cd0.2 Cu2 Fe0.8 Se4 Sn1,S
28846,Li2.03 O8 Ti3.43,M
28847,Co0.1 La0.63 Li0.31 O3 Ti0.9,M
28848,Ni1 O3 Sm1,O
28849, Al0.357 Ca0.813 Fe0.207 Mg0.754 Mn0.004 Na0.046 O6 Si1.769 Ti0.05,M
28850,Ho1 K1 S2,O
28851,Ag1 Cr2 K1 O7,O
28852,B19.046165 Mg0.971,M
28853,Cs1 F2 Li1,O
28854,K1 Na1 S1,O
28855,Ba2 Cu2 Nb1 Nd1 O8,O
28856,Hg0.95 Mn0.05 S1,S
28857,Cr0.98 Cu1 Mg0.02 O2,S
28858,Ge1 Mo0.15 Tb1 Ti0.85,S
28859,Ag1.37 La1 Mg10.63,S
28860,Ba1 Dy0.667 O3 W0.333,S
28861,Pb1 Se2,O
28862,As2 Co2 K1,O
28863,Cs1 F6 Fe1 Mn1,S
28864,Fe2 Tb1 Zn20,O
28865,In4 Pb1 Sr3,O
28866,Cr0.5 La0.7 Mn0.5 O4 Sr1.3,S
28867,Al1 Gd1 Ni4,S
28868,Pr3 Se4,O
28869,Fe2 Ge1 Se4,O
28870,Cu1 O18 Sr8 W3,S
28871,  Al0.376 Ca0.46 Cr0.002 Fe0.17 K0.002 Mg0.561 Mn0.002 Na0.427 O6 Si1.986 Ti0.015,M
28872,Mn0.5 O3 Rh0.5 Sm1,S
28873,Ge10 Lu11,O
28874,Ba2 Cu3 O7 Pr0.15 Y0.85,S
28875,Au0.67 Hg0.33 Mg1,S
28876,Fe8.76 Mo2.72 Nd1,M
28877,Co1 Mg1 Ni3 Tb1,S
28878,Ca0.5 N1 O2 Sr0.5 Ta1,S
28879,Ga0.587 Ge1.065 Y1,M
28880,Nd1 Ni1 Sb3,O
28881,Cu1 La1 Si1,S
28882,Li9 O29 P8 V3,O
28883,Co0.8 Li0.92 Mn0.1 Ni0.1 O2,M
28884,O3 Y1.94 Yb0.06,S
28885,O2.33 U0.67 Zr0.33,M
28886,B4 Nb3 W3,S
28887,Be2 Na2 O9 Si3,O
28888,Ba1 Co1.4 Cu0.6 Nd1 O5.461,M
28889,Ce0.95 Cu2.75 O8.91 Sr2 Y1.3,M
28890,Mo1 O5 Ti1,S
28891,Hf1.136 Mg4.215 Zn21.076,M
28892,La2 Mg1.33 O6 Ta0.67,S
28893,In1 Li2 Rh1,O
28894,K2 O16 V8,O
28895,La0.5 O3 Ti1 Y0.5,S
28896,Al6 Cr6 Gd1,S
28897,Ge2 Li4 Zr1,O
28898,Ge1.5 Pu1,V
28899,Ag0.34 As1 K0.12 Na0.54 Nb4 O13,M
28900,Cu2 Se4 Si1 Zn1,S
28901,B4 Er1,O
28902,Dy0.112 O1 Zn0.832,M
28903,C9 Co2 Fe1 O9 Te1,S
28904,Al4 Pb3.13 Sr10.87,S
28905,Ni0.8 Zn0.2,S
28906,Fe5 P3 Y1,O
28907,Cl12 Re1 Se2,O
28908,Ca3 Ga2 O12 Si1 Sn2,S
28909,Co0.2 Fe0.8 K0.9 La1.1 Mo1 O6,S
28910,Ca0.15 Mn1 Nd0.7 O3 Sr0.15,S
28911,Cu1 F6 Fe1 Rb1,S
28912,C8 Co2 Hg1 O8,O
28913,Al12 Cs5.5 Na6.5 O48 Si12,M
28914,C2 Ca1.14 Mg0.86 O6,S
28915,Hg0.05 Tl0.95,S
28916,Al3 Ca2 O12 Sm0.06 Sn2 Tb1,S
28917,Bi1 Cu0.99 I4,V
28918,N7 U4,V
28919,Bi1 U1,O
28920,Be1 Cu4 Tm1,S
28921,Co1 F6 Ni1 Rb1,S
28922,B1 O20 P5 Pb6,V
28923,B1 Gd5 Ge3,O
28924,I1 Li6.14 P0.82 S5 Sn0.18,M
28925,Ni1 Se2.8 U1,V
28926,La4.89 Mg1.66 Sb6,V
28927,Mo1 O9 P2 Rb2,O
28928,Al92 Co37.536 Na15.68 O384 Si100,M
28929,Ag1 Mg1 O4 V1,O
28930,Al1 Li5 Se4,O
28931,Co0.6 Ni0.4 Y1,S
28932,Bi4 Cu4 S9,V
28933,Ba1 Bi2 Mg2,O
28934,In1 N1 Ti3,O
28935,Rh2 U1 Zn20,O
28936,Ho3 Sn7,O
28937,Rh0.92 Ta0.08,S
28938,Ba8 Ge41.8 Zn2.1,M
28939,Ga0.9625 Ni0.9625 Sc5,M
28940,Ca1.15 Cu2 La1.05 O6 Pr0.8,S
28941,Li3.2 Mg1.8 O6 Re1,S
28942,Se2 Ta1.43,V
28943,C14 Fe4 Mo1 O14 S2 Te2,O
28944,Dy3 F1 O10 Si3,O
28945,Au4 Ga7 Tm3,S
28946,Ba2 Cr1 Nb1 O6,O
28947,Cr1.18 In0.8 Ni1 S4,S
28948,As2 Cs2 Pd1,O
28949,Bi2.2 Ca1 Fe2 O9 Sr1.8,S
28950,Cl6 Na1 Nb1,O
28951,Cu0.95 Ti0.05,S
28952,Bi2 Mn1 Nb2 O11.57 Sr2,V
28953,B2 Bi1 Ca1 Ga1 O7,M
28954,Al1 O3 Sm1,O
28955,Ce0.6 Dy0.4 O1.8,M
28956,Cs2 Cu1 Nb1 Se4,O
28957,Gd0.5 Lu1.5 O3,S
28958,La1.52 O8.9 U2.48,M
28959,F1 Nb1 O11 Sc6,S
28960,As2 S2.085,M
28961,Ba8 Pd2.9 Si43.1,S
28962,Ca9 Nd1 O28 V7,S
28963,Se2 Y1 Yb0.5,V
28964,Al1.7 O8 Si2.3 Sr0.835,M
28965,B4 Ni1 U1,O
28966,As2.124 Cl1 O12 P0.876 Pb5,S
28967,Ca6 Cd11 Pt1,O
28968,Ga4.84 La3 O14 Si1.16,M
28969,Fe2 Ge2 Sm1,O
28970,Cu0.8 Fe2 O4 Zn0.2,S
28971,Fe0.4 In1.6 Mn1 O4,S
28972,Cr0.85 La1 Mg0.15 O3,S
28973,Cu8 Ge1 S6,V
28974,B10 Nd2 Ni1,O
28975,Co0.72 Ni0.28 Zr1,S
28976,Ga2 Mg0.6 Ni0.4 O4,S
28977,Fe2.35 Li0.35 O4 Zn0.3,S
28978,Cu0.5 Mn1.5 Si1,S
28979,Ba1 Co1.5 Fe0.5 Gd1 O5.98,M
28980,C1 Cr1 V1,S
28981,O8 P2 Rb3 Yb1,V
28982,Cr1 La2 Ni1 O7.888 Sr2,M
28983,Al20 Pu0.8 V2,V
28984,Ca3 Co1.88 Cu0.12 O6,S
28985,Ge1 Ni1 U1,O
28986,As2 K2 Si1,O
28987,Fe9.72 Mo2.28 Nd1,S
28988,B12 P1.94,V
28989,Co4 Na10 O9,O
28990,Ag2.8 Mn1.2,S
28991,Eu1 Ge1 Pd1,O
28992,C1 Co2 Dy2 Fe15,V
28993,Ag1 In3 Zr5,O
28994,P1 Pb1 Se3,O
28995,Dy0.007 La1 Li1 Mn0.012 O6 Sr1 Te1,S
28996,Cd20 Nd1 Ni2,O
28997,Al20 Sm4,O
28998,As15 Ge7 Rb1,S
28999,Au1 Pr2,O
29000,C1.6 B13.4,M
29001,C2 N2 S2 Zn1,O
29002,Ba3 Ce1 O9 Ru2,O
29003,Ho0.07 O0.63 Zn0.52,M
29004,Bi0.5 K0.05 Na0.45 O3 Ti1,S
29005,Ge2 Ti1,O
29006,Ce7 Pd3,O
29007,Al1 Ni1 Pr3 S7,O
29008,Fe0.35 Mn0.4 Na1 Ni0.2 O2 Zn0.05,M
29009,Cd1 Ce1 Tl1,O
29010,O8 Pb1 Te2 U1,O
29011,Ba0.2 Co1 O3 Sr0.8,S
29012,Ce2 Te4 U1,S
29013,Ba2 Cu3 O6.957 Pr1,V
29014,Cu0.15 S2 Ta1.05,V
29015,Au0.8 Cd0.1 Sn0.1,S
29016,Co0.93 O4 Sb0.67 Zn1.4,S
29017,Br1.7 I0.3 Sr1,S
29018,Ba2 Cu3 O7.03 Y1,V
29019,Co0.5 La1 O3 Rh0.5,S
29020,Hg0.9 Pt3.1,S
29021,Bi1 Cl1 Te1,O
29022,F1 Li1 O6 Sr1 Ta2,S
29023,Ba0.02 Bi0.53 Fe0.1 Na0.45 O3 Ti0.9,M
29024,Ca1 O7 Ti2.08 Zr0.92,M
29025,Ag0.89 Al0.04 Sn0.07,S
29026,Ga3 Ru1 Tm1,O
29027,Ba3 O5 Si1,O
29028,Co2.17 Pb0.59 Tm6,M
29029,Dy1 Pt2 Si2,S
29030,La1 Li1 Mo2 O8,O
29031,C6 Cr16 Fe6 Ni1,S
29032,Ga5.75 La1 Ni7.25,S
29033,F1 Mn2 O4 V1,V
29034,Co0.6 Ni2.4 Ti1,S
29035,O1.9 Sm0.2 Th0.8,M
29036,As2 Cu1 O8 Zn2,O
29037,O8 V3 Zn3,S
29038,Ba1 Er4 O8 Sr1,S
29039,Ba3 Ce0.007 La2.743 Na1 O20 Si6 Tb0.25,S
29040,Nb1 O8 P2 Rb1,O
29041,C2 Ce1 Th1,S
29042,Co2 Pr1 Si2,O
29043,Fe0.2 Mn1.8 Nd1 Si2,S
29044,Cu1 K1 O9 Ta3,O
29045,Ba1 K2 O8 W2,S
29046,Fe2.5 La18 Li8 O39 Rh2.5,M
29047,Mn3 N2,O
29048,Li2 Mg1 Sb1,S
29049,C6 I20 La14,O
29050,As2 Ca4 O1,O
29051,Al0.6 Co2 Zr0.4,S
29052,Cu6.51 Ge1 Se5.21 Te0.79,M
29053,Na1.12 Si17,V
29054,Bi37 Br48 In1,O
29055,B1 Nd1 S3,O
29056,Gd2 O7 Si2,O
29057,Ge1 Sc1 Tm1,S
29058,Cr1 Mo2 O8 Tl1,O
29059,F4 Hf1,O
29060,Ga1 Se5.24 Ta4 Te2.76,S
29061,Ca1 Ga0.18 Sn0.82,S
29062,As2 Au1 Gd1,O
29063,Al6 Cl2 K7.7 Na0.3 O32 Si6,M
29064,Cd1.35 Cu1.65 O8 P2,S
29065,Au5.1 Ba8 Si40.9,S
29066,Ba4 Cl1 O18 Os6,O
29067,B1 Ba1 Pd4,O
29068,Br9 Cs3 Mo2,O
29069,Na0.82 Nb2 O6.76 U0.45,M
29070,Ba2 Mn3 O10 Sr2,S
29071,Mn7.12 O12 Tb0.88,S
29072,Bi1.78 Sn0.69 Te4 Tl0.53,M
29073,Cr0.5 Fe4.5 Li1 O8,S
29074,Li2 Pt3 S4,O
29075,Ba2 Cu2.821 Gd1 O6.74,V
29076,Li1 Mn1 O4 V1,S
29077,B14 Ga3 Ni27,O
29078,Na0.213 Nb2 O8 P1 Tl0.792,V
29079,Bi1 Sb1 Te3,S
29080,C1 Ti2,O
29081,Ba1 Mg0.475 O3 W0.491 Y0.034,S
29082,Ba0.15 Fe0.08 La0.85 Mn0.92 O3,S
29083,Ba2 Cu3 F0.18 O6.72 Y1,M
29084,Cs4 S13 Tc6,O
29085,Mn1.3 Sb0.7 Sn0.3,M
29086,Na1 O12 P3 Zr1.88,V
29087,Al1 Nb1 O8 Sr4,O
29088,Np2 Se5,O
29089,Co0.114 Cr0.045 Li1 Mn0.621 Ni0.22 O2,S
29090,C0.34 Ba2 Ca0.2 Cu2.66 O6.92 Y0.8,M
29091,Ba2 O6 Pr1 Sn1,S
29092,Pb9 S22 Sb9,M
29093,Ca12 Mn19 N23,O
29094,B2 Lu1 Os3,O
29095,Al1.2 Fe0.8 Gd1,S
29096,Cs2 O12 S5,S
29097,Sb2 V0.96,V
29098,Ce1 Pd1 Sb3,O
29099,Fe17 Th2,O
29100,Hf0.256 K1.97 O10 P2 Ti1.744,M
29101,Ce2 K4 O30 Ta10,O
29102,Al1.93 Ge3.07 Mn1,S
29103,Fe0.33 Sn3.33 Zr5,M
29104,Co2 Mg1 Ni2 Y1,S
29105,Ba1.7 Cu3 O7 Sm1 Sr0.3,S
29106,Li2 Mn1 O8 Sn3,O
29107,Co1 Ho0.33 O2.76 Sr0.67,M
29108,Bi2 Br1 O4 Sm1,O
29109,Ce1 Pt4 Rh1,S
29110,Ba1 Sc2 Te4,O
29111,C8 F9 Ge1 Mn1 O5,O
29112,Dy0.5 Ho0.5 Mn1 O3,S
29113,Ba2 Cu4 Nd0.625 O8 Y0.375,S
29114,Fe3.5 Ga0.5 N1,S
29115,Al11.55 La0.85 O18.6,V
29116,Ce1 In7 Pt2,O
29117,Eu1 Ge1 Sc1,O
29118,Cu0.7 Nb1 Te2,V
29119,Cr2 Dy0.1 Se4 Zn0.9,S
29120,La0.1 Mn1 Nd0.9 O3,S
29121,Cd1 Gd1 Ni4,O
29122,Bi0.75 Fe1 La0.15 O3 Pb0.1,S
29123,Fe0.93 Nb0.89 Te2,V
29124,Cd0.9 Cr2 Cu0.1 Se4,S
29125,Co0.86 Li0.14 O1,S
29126,In1 Lu2 Pd2,O
29127,F1 La1.2 Mn2 O7 Sr1.8,S
